DistanceType	StimClass	Comparison	reliabilityMeasure	nVoxels	ID	Distance
conVals_spearman	MAN	BASE_VS_NCHANGE	correlation	top100	ss001	0.355571557155716
conVals_spearman	MAN	BASE_VS_AJCHANGE	correlation	top100	ss001	0.467350735073507
conVals_spearman	MAN	BASE_VS_PREPCHANGE	correlation	top100	ss001	0.115283528352835
conVals_spearman	MAN	BASE_VS_MEANINGPRES	correlation	top100	ss001	0.125484548454845
conVals_spearman	CAT	BASE_VS_NCHANGE	correlation	top100	ss001	0.377125712571257
conVals_spearman	CAT	BASE_VS_AJCHANGE	correlation	top100	ss001	0.161404140414042
conVals_spearman	CAT	BASE_VS_PREPCHANGE	correlation	top100	ss001	0.602388238823882
conVals_spearman	CAT	BASE_VS_MEANINGPRES	correlation	top100	ss001	0.081776177617762
conVals_spearman	PEN	BASE_VS_NCHANGE	correlation	top100	ss001	0.258661866186619
conVals_spearman	PEN	BASE_VS_AJCHANGE	correlation	top100	ss001	0.258973897389739
conVals_spearman	PEN	BASE_VS_PREPCHANGE	correlation	top100	ss001	0.158175817581758
conVals_spearman	PEN	BASE_VS_MEANINGPRES	correlation	top100	ss001	0.644884488448845
conVals_spearman	GLASS	BASE_VS_NCHANGE	correlation	top100	ss001	1.2156495649565
conVals_spearman	GLASS	BASE_VS_AJCHANGE	correlation	top100	ss001	1.06012601260126
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	correlation	top100	ss001	1.28566456645665
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	correlation	top100	ss001	0.666738673867387
conVals_spearman	MAN	BASE_VS_NCHANGE	correlation	top100	ss002	0.237251725172517
conVals_spearman	MAN	BASE_VS_AJCHANGE	correlation	top100	ss002	0.337917791779178
conVals_spearman	MAN	BASE_VS_PREPCHANGE	correlation	top100	ss002	0.341314131413141
conVals_spearman	MAN	BASE_VS_MEANINGPRES	correlation	top100	ss002	0.298793879387939
conVals_spearman	CAT	BASE_VS_NCHANGE	correlation	top100	ss002	0.537809780978098
